city,blood_type,quantity,qValue,date
Warszawa,AB Rh+,Optimal,90,30-08-2022
Warszawa,AB Rh-,Medium,50,30-08-2022
Wrocław,0 Rh+,Very low,5,30-08-2022
Wrocław,0 Rh-,Very low,5,30-08-2022
Wrocław,A Rh+,Optimal,90,30-08-2022
Wrocław,A Rh-,Medium,50,30-08-2022
Wrocław,B Rh+,Full,100,30-08-2022
Wrocław,B Rh-,Very low,5,30-08-2022
Wrocław,AB Rh+,Optimal,90,30-08-2022
Wrocław,AB Rh-,Optimal,90,30-08-2022
Zielona Góra,0 Rh+,Full,100,30-08-2022
Zielona Góra,0 Rh-,Very low,5,30-08-2022
Zielona Góra,A Rh+,Full,100,30-08-2022
Zielona Góra,A Rh-,Very low,5,30-08-2022
Zielona Góra,B Rh+,Optimal,90,30-08-2022
Zielona Góra,B Rh-,Very low,5,30-08-2022
Zielona Góra,AB Rh+,Full,100,30-08-2022
Zielona Góra,AB Rh-,Very low,5,30-08-2022
Białystok,0 Rh+,Medium,50,31-08-2022
Białystok,0 Rh-,Very low,5,31-08-2022
Białystok,A Rh+,Optimal,90,31-08-2022
Białystok,A Rh-,Very low,5,31-08-2022
Białystok,B Rh+,Optimal,90,31-08-2022
Białystok,B Rh-,Medium,50,31-08-2022
Białystok,AB Rh+,Optimal,90,31-08-2022
Białystok,AB Rh-,Optimal,90,31-08-2022
Bydgoszcz,0 Rh+,Medium,50,31-08-2022
Bydgoszcz,0 Rh-,Very low,5,31-08-2022
Bydgoszcz,A Rh+,Optimal,90,31-08-2022
Bydgoszcz,A Rh-,Optimal,90,31-08-2022
Bydgoszcz,B Rh+,Medium,50,31-08-2022
Bydgoszcz,B Rh-,Medium,50,31-08-2022
Bydgoszcz,AB Rh+,Optimal,90,31-08-2022
Bydgoszcz,AB Rh-,Optimal,90,31-08-2022
Gdańsk,0 Rh+,Medium,50,31-08-2022
Gdańsk,0 Rh-,Very low,5,31-08-2022
Gdańsk,A Rh+,Full,100,31-08-2022
Gdańsk,A Rh-,Medium,50,31-08-2022
